order,label,commit,instruction_count,cycle_count,cpi,seconds_280,change_vs_previous_percent,wns_ns
1,iterative_divider,85d3dad160c1dfcc7ef200fc14da22b76319dc77,380344384,449934660,1.182966,1.606909500,,
2,lsu_agen_timing280,11f93f5f4cb41e637056fc7b341461bc13a11af2,380344384,449934660,1.182966,1.606909500,0.000000,0.000
3,dcache_shadow,906249b9443b2b25ee1e064f9f3ab296d75d9eea,380344384,450073162,1.183331,1.607404150,-0.030783,0.000
4,btb_32_entries,8eb6b8ccd5538f099765e664b0bab63013c483a8,380344384,450072916,1.183330,1.607403271,0.000055,
5,btb_update_shadow_lutram,a72b1f9c2756ccf211eb8bb897b06b1acb3dbf7f,380344384,450072916,1.183330,1.607403271,0.000000,-0.011
6,exact_ret,f5143a0c398e9f4cb0f2b3c1e7d34b286b5a179b,380344384,450072859,1.183330,1.607403068,0.000013,-0.091
7,partial_store_hit,d205c9aa7a41c8d8611033fd6aee0573fb863014,380344384,450072856,1.183330,1.607403057,0.000001,-0.072
8,ret_bypass_trim,3fd8030b5e0ef0028e31df3fcf3dd0737f090eba,380344384,450072856,1.183330,1.607403057,0.000000,
9,alu_bypass_div_correct,c4279e438726cceae21fc71321ee5ee306bb95e9,380344384,450072868,1.183330,1.607403100,-0.000003,
10,wbu_address_bypass,e3a7baaffdf632a1bddd790ae8cedb7df9fcf9cd,380344384,450072868,1.183330,1.607403100,0.000000,
11,dcache_address_interface,9343d53069f6bb268dd1210ae2b083a70699008f,380344384,450072868,1.183330,1.607403100,0.000000,
12,final_frozen_rtl,58f371d5dbff5e6a8c730ab59ea6d39048012159,380344384,450072868,1.183330,1.607403100,0.000000,0.013
